name,today_high,today_low,today_volume,52_wk_volume,52_wk_high,52_wk_low,market_cap,beta,dividend_per_share,one_day_yield
CHH,56.675,56,"81,173","236,725",57.375,40.78,"3,158,260,368 ",0.82,0.215,0.39
CMCSA,70.66,69.965,"5,993,479","11,312,289",71.32,52.34,"167,713,622,495 ",0.83,0.275,0.4
CSC,60.01,59.325,"652,801","1,757,859",63.34,24.27,"8,410,889,089 ",1.36,0.14,0.24
ESE,57.75,56.85,"58,270","97,168",58.75,31.50,"1,476,354,461 ",1.24,0.08,0.14
GPS,23,22.551,"3,810,542","6,154,631",N/A,N/A,"9,066,573,472 ",1.45,0.23,1.02
GSBC,55.50,54.10,"20,482","31,274",56.70,34.48,"757,664,704 ",1.96,0.22,0.41
HEI,79.25,78.56,"117,694","173,072",82.37,50.85,"5,309,284,849 ",1.14,0.09,0.12
HEI.A,68.90,68.15,"56,099","119,132",70.25,40.10,"2,732,200,782 ",0.82,0.09,0.14
ISTR,19.60,18.35,"9,969","6,347",19.575,13.63,"139,457,646 ",0.23,0.012,0.07
ITUB,10.40,10.20,"9,109,535","13,790,396",12.185,4.9818,"613,726,610 ",0.99,0.004,0.04
IVC,13.15,12.60,"272,995","303,529",N/A,N/A,"426,780,936 ",2.04,0.013,0.1
RTN,143.6672,142.0501,"1,462,243","1,731,883",152.5797,115.73,"42,106,043,330 ",0.85,0.733,0.52
WSR,14.38,14.09,"180,382","158,463",16.30,9.44,"420,656,961 ",1.51,0.095,0.67
