name,today_high,today_low,today_volume,52_wk_volume,52_wk_high,52_wk_low,market_cap,beta,dividend_per_share,one_day_yield
AXP,75.75,74.74,"3,415,322","4,596,977",75.74,50.27,"68,671,611,086 ",0.95,0.32,0.43
BKS,11.60,11.25,"580,336","789,652",13.63,7.25,"823,130,083 ",2.34,0.15,1.33
BMY,59.68,58.58,"6,852,966","11,841,543",77.12,49.03,"99,170,784,996 ",0.63,0.39,0.66
CGI,8.60,7.45,"509,423","443,358",12.03,4.85,"240,483,447 ",1.63,0.02,0.24
CSCO,30.56,30.21,"15,525,485","23,004,737",31.95,22.46,"152,274,387,263 ",0.86,0.26,0.86
CUBN,21.99,20.60,"14,063","2,653",22.99,13.50,"163,808,858 ",0.14,0.22,1.05
CVBF,23.44,22.80,"285,080","616,373",23.23,14.02,"2,478,476,960 ",1.51,0.12,0.53
DL,11.82,11.45,"58,963","43,022",15.46,8.97,"388,602,827 ",0.97,0.45,3.82
FNLC,33.07,31.392,"25,599","18,911",33.21,17.37,"345,441,293 ",0.78,0.35,1.1
GNL,7.95,7.80,"491,508","588,051",8.975,5.77,"1,354,000,279 ",1.56,0.059,0.75
GNTX,20.40,19.76,"1,951,271","2,221,500",20.39,12.93,"5,787,494,385 ",0.92,0.09,0.45
HBNC,28.63,27.56,"82,521","73,879",28.55,14.6117,"619,707,754 ",2.05,0.11,0.4
HIFS,199.79,195.11,"4,256","6,425",203.01,115.795,"425,302,963 ",0.08,0.64,0.33
IMKTA,49.25,47.50,"38,318","52,600",52.40,31.77,"995,767,990 ",1.69,0.165,0.34
JPM,87.76,85.98,"13,038,418","16,697,116",87.39,52.50,"309,537,751,368 ",1.1,0.48,0.56
KCAP,4.10,3.9934,"570,401","155,364",4.89,2.62,"151,367,706 ",0.9,0.12,2.95
KED,19.69,19.48,"82,554","38,102",20.47,9.86,"209,500,128 ",0,0.48,2.45
KRG,23.61,23.05,"430,796","462,410",30.45,22.50,"1,938,684,605 ",0.96,0.303,1.31
KYN,19.99,19.58,"584,258","384,158",21.17,10.10,"2,255,934,247 ",0,0.55,2.77
MON,105.75,104.77,"1,079,233","3,124,996",114.26,83.73,"46,101,767,063 ",0.18,0.54,0.52
MORN,75.55,72.85,"36,800","90,859",89.44,67.74,"3,178,614,642 ",0.81,0.23,0.32
MXF,14.43,13.9432,"103,831","62,670",18.24,13.70,"210,988,950 ",0,0.141,1.01
MYCC,14.80,14.35,"407,041","549,766",18.42,9.75,"966,340,055 ",2.11,0.13,0.89
NTAP,36.19,35.09,"2,352,161","3,726,423",N/A,N/A,"9,740,106,667 ",1.82,0.19,0.54
PFBC,53.06,51.23,"52,561","85,083",53.10,26.345,"708,176,606 ",1.15,0.18,0.35
RAVN,25.65,25.10,"97,573","146,820",26.90,12.88,"923,857,493 ",1.56,0.13,0.51
RGLD,65.26,63.55,"661,567","785,776",87.74,24.68,"4,191,303,913 ",0.37,0.24,0.38
SYY,55.65,54.46,"2,989,902","3,661,442",57.07,38.835,"30,004,651,612 ",1.69,0.33,0.61
THFF,53.30,51.85,"17,470","31,665",53.4934,31.15,"634,876,898 ",0.99,0.5,0.96
TMK,74.9799,73.37,"239,805","510,197",75.07,48.47,"8,729,502,939 ",0.91,0.14,0.2
UBA,24.30,23.68,"100,598","130,495",25.43,18.27,"936,983,938 ",0.87,0.265,1.11
UBP,19.23,18.88,"12,360","2,296",22.37,16.6233,"744,423,932 ",0.52,0.235,1.24
WIRE,44.95,43.95,"66,257","102,960",46.40,32.96,"924,328,221 ",1.84,0.02,0.05
