,school_name,address,score,district,grade,lat,long
0,Gullett Elementary School,"6310 Treadwell Boulevard, Austin, TX 78757",10,Public district,PK-5,30.3436469,-97.7487409
1,Kiker Elementary School,"5913 La Crosse Avenue, Austin, TX 78739",10,Public district,PK-5,30.1915485,-97.8815239
2,Mills Elementary School,"6201 Davis Lane, Austin, TX 78749",10,Public district,PK-5,30.210955,-97.8783687
3,Hill Country Middle School,"1300 Walsh Tarlton Lane, Austin, TX 78746",10,Public district,8-Jun,30.2710171,-97.8037332
4,Valley View Elementary School,"1201 Texas 360 Loop, Austin, TX 78746",10,Public district,K-5,30.3162046,-97.8252176
5,Forest Trail Elementary School,"1203 Texas 360 Loop, Austin, TX 78746",10,Public district,K-5,30.3162155,-97.8252069
6,Bridge Point El,"6401 Cedar Street, Austin, TX 78746",10,Public district,K-5,30.3408667,-97.8063885
7,Barton Creek Elementary School,"1370 Patterson Road, Austin, TX 78733",10,Public district,K-5,30.303408,-97.879581
8,Kathy Caraway Elementary School,"11104 Oak View Drive, Austin, TX 78759",10,Public district,PK-5,30.4196628,-97.7695241
9,Spicewood Elementary School,"11601 Olson Drive, Austin, TX 78750",10,Public district,K-5,30.4450525,-97.8042278
10,Cedar Valley Middle School,"8139 Racine Trail, Austin, TX 78717",10,Public district,8-Jun,30.4926195,-97.7345892
11,Canyon Vista Middle School,"8455 Spicewood Springs Road, Austin, TX 78759",10,Public district,8-Jun,30.4283538,-97.7842862
12,Laurel Mountain Elementary School,"10111 D-K Ranch Road, Austin, TX 78759",10,Public district,PK-5,30.4139376,-97.7809036
13,Canyon Creek Elementary School,"10210 Ember Glen Drive, Austin, TX 78726",10,Public district,PK-5,30.4366032,-97.8242446
14,Patsy Sommer Elementary School,"16200 Avery Ranch Boulevard, Austin, TX 78717",10,Public district,PK-5,30.504527,-97.752023
15,Lake Pointe Elementary School,"3322 Ranch Road 620 South, Austin, TX 78738",10,Public district,PK-5,30.3278393,-97.9653625
16,Clayton Elementary School,"7525 La Crosse Avenue, Austin, TX 78739",10,Public district,PK-5,30.1948537,-97.9063349
17,Rutledge Elementary School,"11501 Staked Plains Drive, Austin, TX 78717",10,Public district,PK-5,30.4977332,-97.7942181
18,Richards School For Young Women Leade,"2206 Prather Lane, Austin, TX 78704",10,Public district,12-Jun,30.236442,-97.788284
