,Unnamed: 0,school_name,address,score,district,grade,lat,long
0,0,Uplift Education-North Hills Prep,"1825 Market Center Boulevard, Dallas, TX 75207",10.0,Public charter,6-8,N/A,N/A
1,1,Irma Lerma Rangel Young Women's Leadership School,"1718 Robert B Cullum Boulevard, Dallas, TX 75210",10.0,Public district,9-12,N/A,N/A
2,2,Booker T. Washing High for the Performing and Visual Arts,"2501 Flora St, Dallas, TX 75201, Dallas, TX 75201",10.0,Public district,"9, 12",N/A,N/A
3,3,School Of Science And Engineering,"1201 East 8th Street, Suite 216, Dallas, TX 75203",10.0,Public district,9-12,N/A,N/A
4,4,Rosie Sorrells Education And Socia,"1201 East 8th Street, Dallas, TX 75203",10.0,Public district,9-12,N/A,N/A
5,5,Judge Barefoot Sanders Law Magnet,"1201 East 8th Street, Dallas, TX 75203",10.0,Public district,9-12,N/A,N/A
6,6,School for the Talented and Gifted,"1201 East 8th Street, Dallas, TX 75203",10.0,Public district,9-12,N/A,N/A
7,7,Harry Stone Montessori Academy,"4747 Veterans Drive, Dallas, TX 75216",10.0,Public district,6-8,N/A,N/A
8,8,George Bannerman Dealey Internatio,"6501 Royal Lane, Dallas, TX 75230",10.0,Public district,6-8,N/A,N/A
9,9,Bradfield Elementary School,"4300 Southern Avenue, Dallas, TX 75205",10.0,Public district,PK-4,N/A,N/A
10,10,Brentfield Elementary School,"6767 Brentfield Drive, Dallas, TX 75248",10.0,Public district,K-6,N/A,N/A
11,11,Spring Creek Elementary School,"7667 Roundrock Road, Dallas, TX 75248",10.0,Public district,PK-6,N/A,N/A
12,12,William B Travis Acdmy/Vngrd For A,"3001 McKinney Avenue, Dallas, TX 75204",10.0,Public district,4-5,N/A,N/A
13,13,William B Travis Acad/Vangrd For A,"3001 McKinney Avenue, Dallas, TX 75204",10.0,Public district,4-8,N/A,N/A
14,14,Trinidad Garza Early College High School at Mountain View,"4849 West Illinois Avenue, Dallas, TX 75211",10.0,Public district,9-12,N/A,N/A
15,15,Golden Rule,"2602 West Illinois Avenue, Dallas, TX 75233",10.0,Public charter,PK-8,N/A,N/A
16,16,Uplift Education-North Hills Prep,"1825 Market Center Boulevard, Dallas, TX 75207",10.0,Public charter,9-12,N/A,N/A
