,school_name,address,score,district,grade
0,Texas Academy Of Biomedical,"2100 Clover Lane, Fort Worth, TX 76107",10,Public district,9-12
1,Burton Hill Elementary School,"519 Burton Hill Road, Fort Worth, TX 76114",9,Public district,PK-5
2,Tanglewood Elementary School,"3060 Overton Park Drive West, Fort Worth, TX 76109",9,Public district,PK-5
3,North Elementary School,"9850 Legacy Drive, Fort Worth, TX 76108",9,Public district,PK-4
4,Fort Worth Academy Of Fine Arts,"3901 South Hulen Street, Fort Worth, TX 76109",9,Public charter,7-12
5,Hillwood Middle School,"8250 Parkwood Hill Boulevard, Fort Worth, TX 76137",9,Public district,7-8
6,Greenfield Elementary School,"6020 Ten Mile Bridge Road, Fort Worth, TX 76135",9,Public district,PK-5
7,Fort Worth Academy Of Fine Arts Elementary School,"3901 South Hulen Street, Fort Worth, TX 76109",9,Public charter,K-6
8,Marine Creek Collegiate High School,"100 North University Drive, Fort Worth, TX 76107",9,Public district,9-12
9,Oakmont Elementary School,"6651 Oakmont Trail, Fort Worth, TX 76132",8,Public district,PK-4
10,Eagle Mountain Elementary School,"9700 Morris Dido Newark Road, Fort Worth, TX 76179",8,Public district,PK-5
11,Park Glen Elementary School,"5100 Glen Canyon Road, Fort Worth, TX 76137",8,Public district,K-4
12,Lake Pointe Elementary School,"5501 Park Drive, Fort Worth, TX 76179",8,Public district,PK-5
13,Young Women's Leadership Academy,"E 8th St., Fort Worth, TX 76102",8,Public district,6-12
14,Harmony School Of Innovation - Fort Worth,"8100 South Hulen Street, Fort Worth, TX 76123",8,Public charter,5-12
15,Riverside Applied Lrn Center,"3600 Fossil Drive, Fort Worth, TX 76111",7,Public district,PK-5
16,Como Montessori,"4001 Littlepage Street, Fort Worth, TX 76107",7,Public district,K-8
17,Charles Nash Elementary School,"401 Samuels Avenue, Fort Worth, TX 76102",7,Public district,PK-5
18,Oakhurst Elementary School,"2700 Yucca Avenue, Fort Worth, TX 76111",7,Public district,PK-5
19,South Hi Mount Elementary School,"4101 Birchman Avenue, Fort Worth, TX 76107",7,Public district,PK-5
20,Springdale Elementary School,"3207 Hollis Street, Fort Worth, TX 76111",7,Public district,PK-5
21,Blue Haze Elementary School,"601 Blue Haze Drive, Fort Worth, TX 76108",7,Public district,PK-4
22,Bonnie Brae,"3504 Kimbo Road, Fort Worth, TX 76111",7,Public district,PK-5
23,River Trails Elementary School,"8850 Elbe Trail, Fort Worth, TX 76118",7,Public district,PK-6
24,Central High School,"9450 Ray White Road, Fort Worth, TX 76244",7,Public district,9-12
25,Better Perot Elementary School,"9345 General Worth Drive, Fort Worth, TX 76244",7,Public district,K-4
26,Freedom Elementary School,"5401 Wall Price Keller Road, Fort Worth, TX 76244",7,Public district,K-4
27,Creekview Middle School,"6716 Bob Hanger Street, Fort Worth, TX 76179",7,Public district,6-8
28,Trinity Springs Middle School,"3550 Keller Hicks Road, Fort Worth, TX 76244",7,Public district,7-8
29,Sonny & Allegra Nance Elementary School,"701 Tierra Vista Way, Fort Worth, TX 76131",7,Public district,PK-5
30,Independence Elementary School,"11773 Bray Birch Drive, Fort Worth, TX 76244",7,Public district,K-4
31,Trinity Meadows Intermediate School,"3500 Keller Hicks Road, Fort Worth, TX 76244",7,Public district,5-6
32,Comanche Springs Elementary School,"8100 Comanche Springs Drive, Fort Worth, TX 76131",7,Public district,PK-5
33,Timber Creek High School,"12350 Timberland Boulevard, Fort Worth, TX 76244",7,Public district,9-12
34,Young Men's Leadership Academy,"100 North University Drive, Fort Worth, TX 76107",7,Public district,6-9
35,World Languages Institute,"100 North University Drive, Fort Worth, TX 76107",7,Public district,6-12
36,Jackie Carden Elementary School,"3701 Garden Springs Drive, Fort Worth, TX 76123",6,Public district,PK-4
37,Boswell High School,"5805 West Bailey Boswell Road, Fort Worth, TX 76179",6,Public district,9-12
38,Wayside Middle School,"1300 Old Decatur Road, Fort Worth, TX 76179",6,Public district,6-8
39,Charles Baxter J High School,"3038 Shelby Road, Fort Worth, TX 76140",6,Public district,7-8
40,Mclean Middle School,"3816 Stadium Drive, Fort Worth, TX 76109",6,Public district,6-8
41,Moore M High Elementary School,"1809 Northeast 36th Street, Fort Worth, TX 76106",6,Public district,PK-5
42,Richard J Wilson Elementary School,"900 West Fogg Street, Fort Worth, TX 76110",6,Public district,PK-5
43,Westcliff Elementary School,"4300 Clay Avenue, Fort Worth, TX 76109",6,Public district,PK-5
44,Alice Carlson Applied Learning Center,"3320 West Cantey Street, Fort Worth, TX 76109",6,Public district,PK-5
45,Applied Learning Academy,"7060 Camp Bowie West Boulevard, Fort Worth, TX 76116",6,Public district,6-8
46,Edward Briscoe Elementary School,"2751 Yuma Avenue, Fort Worth, TX 76104",6,Public district,PK-5
47,Mcrae Elementary School,"3316 Avenue North, Fort Worth, TX 76105",6,Public district,PK-5
48,Fossil Hill Middle School,"3821 Staghorn Circle South, Fort Worth, TX 76137",6,Public district,7-8
49,Fossil Ridge High School,"4101 Thompson Road, Fort Worth, TX 76244",6,Public district,9-12
50,North Riverside Elementary School,"7900 North Riverside Drive, Fort Worth, TX 76137",6,Public district,K-4
51,East Fort Worth Montessori Academy,"501 South Oakland Boulevard, Fort Worth, TX 76103",6,Public charter,PK-5
