,Unnamed: 0,school_name,address,score,district,grade,lat,long
0,0,Kerr High School,"8150 Sugarland Howell Road, Houston, TX 77083",10.0,Public district,9-12,29.69155,-95.63547899999999
1,1,Challenge Early College High School,"5601 West Loop South Freeway, Houston, TX 77081",10.0,Public charter,9-12,29.7213548,-95.4574122
2,2,Bush Elementary School,"13800 Westerloch Drive, Houston, TX 77077",10.0,Public district,PK-5,29.7595074,-95.63260559999999
3,3,Debakey High School For Health Prof,"3100 Shenandoah Street, Houston, TX 77021",10.0,Public district,9-12,29.7095304,-95.3755125
4,4,Lanier Middle School,"2600 Woodhead Street, Houston, TX 77098",10.0,Public charter,6-8,29.7418543,-95.4050414
5,5,Oak Forest Elementary School,"1401 West 43rd Street, Houston, TX 77018",10.0,Public district,PK-5,29.8279037,-95.43638639999999
6,6,Perfor & Vis Arts High School,"4001 Stanford Street, Houston, TX 77006",10.0,Public district,9-12,29.7372166,-95.3884083
7,7,River Oaks Elementary School,"2008 Kirby Drive, Houston, TX 77019",10.0,Public district,PK-5,29.7480675,-95.4195625
8,8,West University Elementary School,"3756 University Boulevard, Houston, TX 77005",10.0,Public district,PK-5,29.7158507,-95.4348208
9,9,Wharton Dual Language Academy,"900 West Gray Street, Houston, TX 77019",10.0,Public district,PK-8,29.7540908,-95.39071679999999
10,10,Eastwood Academy,"1315 Dumble Street, Houston, TX 77023",10.0,Public charter,9-12,29.7355174,-95.32812009999999
11,11,Quest Early College High School,"15903 West Lake Houston Parkway, Houston, TX 77044",10.0,Public district,9-12,29.9594144,-95.1713111
12,12,Frostwood Elementary School,"12214 Memorial Drive, Houston, TX 77024",10.0,Public district,PK-5,29.764609,-95.54319600000001
13,13,Memorial Drive Elementary School,"11202 Smithdale Road, Houston, TX 77024",10.0,Public district,PK-5,29.770999,-95.511607
14,14,Memorial Middle School,"12550 Vindon Drive, Houston, TX 77024",10.0,Public district,6-8,29.7762857,-95.55200119999999
15,15,Rummel Creek Elementary School,"625 Brittmoore Road, Houston, TX 77079",10.0,Public district,PK-5,29.7747536,-95.5701313
16,16,Wilchester Elementary School,"13618 Saint Marys Lane, Houston, TX 77079",10.0,Public district,PK-5,29.78277539999999,-95.5809895
17,17,Cornerstone Academy,"8655 Emnora Lane, Houston, TX 77080",10.0,Public charter,6-8,29.81420799999999,-95.50358399999999
18,18,Birkes Elementary School,"8500 Queenston Boulevard, Houston, TX 77095",10.0,Public district,K-5,29.9044728,-95.6686426
19,19,Carnegie Vanguard High School,"1501 Taft Street, Houston, TX 77019",10.0,Public district,9-12,29.7540716,-95.38485109999999
20,20,Kipp Shine Prep,"6700 Bellaire Boulevard, Houston, TX 77074",10.0,Public charter,PK-5,29.7059209,-95.50179890000001
21,21,Clear Horizons Early College High School,"13735 Beamer Rd Box 613, Houston, TX 77089",10.0,Public charter,9-12,29.5788023,-95.2043233
22,22,Kipp Sharp College Prep,"6700 Bellaire Boulevard, Houston, TX 77074",10.0,Public charter,PK-4,29.7059209,-95.50179890000001
23,23,Alief Early College High School,"2811 Hayes Road, Houston, TX 77082",10.0,Public district,9-12,29.7335587,-95.5748878
24,24,KIPP Gulfton Lower School,"6700 Bellaire, Houston, TX 77074",10.0,Public charter,PK-4,29.7059209,-95.50179890000001
25,25,The School For Highly Gifted Students,"8390 Westview Drive, Houston, TX 77055",10.0,Public district,K-7,29.7957095,-95.49459139999999
26,26,Hairgrove Elementary School,"7120 North Eldridge Parkway, Houston, TX 77041",9.0,Public district,PK-5,29.881828,-95.6073983
