,Unnamed: 0,school_name,address,score,district,grade,lat,long
0,0,Encino Park Elementary School,"2550 Encino Rio, San Antonio, TX 78259",10.0,Public district,PK-5,N/A,N/A
1,1,International School Of America,"1400 Jackson Keller Road, San Antonio, TX 78213",10.0,Public district,9-12,29.5065034,-98.5156236
2,2,Health Careers High School,"4646 Hamilton Wolfe Road, San Antonio, TX 78229",10.0,Public district,9-12,N/A,N/A
3,3,Roan Forest Elementary School,"22710 Roan Park, San Antonio, TX 78259",10.0,Public district,PK-5,N/A,N/A
4,4,Hardy Oak Elementary School,"22900 Hardy Oak Boulevard, San Antonio, TX 78258",10.0,Public district,PK-5,N/A,N/A
5,5,Blattman Elementary School,"3300 North Loop 1604 West, San Antonio, TX 78231",10.0,Public district,PK-5,N/A,N/A
6,6,Wilderness Oak Elementary School,"21019 Wilderness Oak, San Antonio, TX 78258",10.0,Public district,PK-5,N/A,N/A
7,7,Lopez Middle School,"23103 Hardy Oak Boulevard, San Antonio, TX 78258",10.0,Public district,6-8,N/A,N/A
8,8,Aue Elementary School,"24750 Baywater Stage, San Antonio, TX 78255",10.0,Public district,PK-5,N/A,N/A
9,9,Cibolo Green Elementary School,"24315 Bulverde Green, San Antonio, TX 78261",10.0,Public district,K-5,N/A,N/A
10,10,Vineyard Ranch Elementary,"16818 Huebner Road, San Antonio, TX 78258",10.0,Public district,K-5,N/A,N/A
11,11,Virginia Allred Stacey Jr/Sr High School,"2460 Kewly Avenue, San Antonio, TX 78236",9.0,Public district,7-12,N/A,N/A
12,12,Hidden Forest Elementary School,"802 Silver Spruce Street, San Antonio, TX 78232",9.0,Public district,PK-5,N/A,N/A
13,13,Stone Oak Elementary School,"21045 Crescent Oaks, San Antonio, TX 78258",9.0,Public district,PK-5,N/A,N/A
14,14,Longs Creek Elementary School,"15806 O'Connor Road, San Antonio, TX 78247",9.0,Public district,PK-5,N/A,N/A
15,15,Bush Middle School,"1500 Evans Road, San Antonio, TX 78258",9.0,Public district,6-8,N/A,N/A
16,16,Carson Elementary School,"8151 Old Tezel Road, San Antonio, TX 78250",9.0,Public district,PK-5,N/A,N/A
17,17,Elm Creek Elementary School,"11914 Dragon Lane, San Antonio, TX 78252",9.0,Public district,PK-5,N/A,N/A
18,18,Burke Elementary School,"10111 Terra Oak, San Antonio, TX 78250",9.0,Public district,PK-5,N/A,N/A
19,19,Tejeda Middle School,"2909 East Evans Road, San Antonio, TX 78259",9.0,Public district,6-8,N/A,N/A
20,20,Krueger Elementary School,"9900 Wildhorse Parkway, San Antonio, TX 78254",9.0,Public district,PK-5,N/A,N/A
21,21,Canyon Ridge Elementary School,"20522 Stone Oak Parkway, San Antonio, TX 78258",9.0,Public district,PK-5,N/A,N/A
22,22,Bulverde Creek Elementary School,"3839 Canyon Parkway, San Antonio, TX 78259",9.0,Public district,PK-5,N/A,N/A
23,23,Johnson High School,"23203 Bulverde Road, San Antonio, TX 78259",9.0,Public district,9-12,N/A,N/A
24,24,Garcia Middle School,"14900 Kyle Seale Parkway, San Antonio, TX 78255",9.0,Public district,6-8,N/A,N/A
25,25,Young Women's Leadership Academy,"2123 West Huisache Avenue, San Antonio, TX 78201",9.0,Public charter,6-12,29.4587164,-98.5343839
26,26,Tuscany Heights Elementary School,"25001 Wilderness Oak, San Antonio, TX 78260",9.0,Public district,PK-5,N/A,N/A
