,school_name,address,score,grade
0,Gullett Elementary School,"6310 Treadwell Boulevard, Austin, TX 78757",10,Public district PK-5
1,Kiker Elementary School,"5913 La Crosse Avenue, Austin, TX 78739",10,Public district PK-5
2,Mills Elementary School,"6201 Davis Lane, Austin, TX 78749",10,Public district PK-5
3,Hill Country Middle School,"1300 Walsh Tarlton Lane, Austin, TX 78746",10,Public district 6-8
4,Valley View Elementary School,"1201 Texas 360 Loop, Austin, TX 78746",10,Public district K-5
5,Forest Trail Elementary School,"1203 Texas 360 Loop, Austin, TX 78746",10,Public district K-5
6,Bridge Point El,"6401 Cedar Street, Austin, TX 78746",10,Public district K-5
7,Barton Creek Elementary School,"1370 Patterson Road, Austin, TX 78733",10,Public district K-5
8,Kathy Caraway Elementary School,"11104 Oak View Drive, Austin, TX 78759",10,Public district PK-5
9,Spicewood Elementary School,"11601 Olson Drive, Austin, TX 78750",10,Public district K-5
10,Cedar Valley Middle School,"8139 Racine Trail, Austin, TX 78717",10,Public district 6-8
11,Canyon Vista Middle School,"8455 Spicewood Springs Road, Austin, TX 78759",10,Public district 6-8
12,Laurel Mountain Elementary School,"10111 D-K Ranch Road, Austin, TX 78759",10,Public district PK-5
13,Canyon Creek Elementary School,"10210 Ember Glen Drive, Austin, TX 78726",10,Public district PK-5
14,Patsy Sommer Elementary School,"16200 Avery Ranch Boulevard, Austin, TX 78717",10,Public district PK-5
15,Lake Pointe Elementary School,"3322 Ranch Road 620 South, Austin, TX 78738",10,Public district PK-5
16,Clayton Elementary School,"7525 La Crosse Avenue, Austin, TX 78739",10,Public district PK-5
17,Rutledge Elementary School,"11501 Staked Plains Drive, Austin, TX 78717",10,Public district PK-5
18,Richards School For Young Women Leade,"2206 Prather Lane, Austin, TX 78704",10,Public district 6-12
19,Lasa High School,"7309 Lazy Creek Drive, Austin, TX 78724",10,Public district 9-12
20,River Ridge Elementary School,"12900 Tierra Grande Trail, Austin, TX 78732",10,Public district PK-5
21,West Cypress Hills Elementary School,"3322 Ranch Road 620 South, Austin, TX 78738",10,Public district PK-5
22,Nyos Charter School,"12301 North Lamar Boulevard, Austin, TX 78753",9,Public charter 4-12
23,Chaparral Star Academy,"14046 Summit Drive, Austin, TX 78728",9,Public charter K-12
24,Blackshear Elementary School,"1712 East 11th Street, Austin, TX 78702",9,Public district PK-5
25,Casis Elementary School,"2710 Exposition Boulevard, Austin, TX 78703",9,Public district PK-5
26,Graham Elementary School,"11211 Tom Adams Drive, Austin, TX 78753",9,Public district PK-5
27,Hill Elementary School,"8601 Tallwood Drive, Austin, TX 78759",9,Public district PK-5
28,Zilker Elementary School,"1900 Bluebonnet Lane, Austin, TX 78704",9,Public district PK-6
29,Cedar Creek Elementary School,"3301 Pinnacle Road, Austin, TX 78746",9,Public district K-5
30,West Ridge Middle School,"9201 Scenic Bluff Drive, Austin, TX 78733",9,Public district 6-8
31,Lakeway Elementary School,"3322 Ranch Road 620 South, Austin, TX 78738",9,Public district PK-5
32,Steiner Ranch Elementary School,"4001 North Quinlan Park Road, Austin, TX 78732",9,Public district PK-5
33,Westwood High School,"12400 Mellow Meadow Drive, Austin, TX 78750",9,Public district 9-12
34,Canyon Ridge Middle School,"12601 Country Trails Lane, Austin, TX 78732",9,Public district 6-8
35,Baranoff Elementary School,"12009 Buckingham Gate Road, Austin, TX 78748",9,Public district PK-5
36,Laura Welch Bush Elementary School,"12600 Country Trails Lane, Austin, TX 78732",9,Public district PK-5
37,Cowan Elementary School,"2817 Kentish Drive, Austin, TX 78748",9,Public district PK-5
38,Hudson Bend Middle School,"3322 Ranch Road 620 South, Austin, TX 78738",9,Public district 6-8
39,Gorzycki Middle School,"7412 West Slaughter Lane, Austin, TX 78749",9,Public district 6-8
40,Blazier Elementary School,"8601 Nuckols Crossing Road, Austin, TX 78744",9,Public district PK-5
41,Baldwin Elementary School,"12200 Meridian Park Boulevard, Austin, TX 78739",9,Public district PK-5
42,River Place Elementary School,"6500 Sitio Del Rio Boulevard, Austin, TX 78730",9,Public district PK-5
43,Elsa England Elementary School,"8801 Pearson Ranch Road, Austin, TX 78717",9,Public district PK-5
44,Anderson High School,"8403 Mesa Drive, Austin, TX 78759",8,Public district 9-12
45,Barton Hills Elementary School,"2108 Barton Hills Drive, Austin, TX 78704",8,Public district PK-6
46,Bryker Woods Elementary School,"3309 Kerbey Lane, Austin, TX 78703",8,Public district PK-6
47,Doss Elementary School,"7005 Northledge Drive, Austin, TX 78731",8,Public district K-5
48,Highland Park Elementary School,"4900 Fairview Drive, Austin, TX 78731",8,Public district PK-5
49,Lee Elementary School,"3308 Hampton Road, Austin, TX 78705",8,Public district PK-6
50,Mathews Elementary School,"906 West Lynn Street, Austin, TX 78703",8,Public district PK-6
51,St Elmo El,"600 West Saint Elmo Road, Austin, TX 78745",8,Public district PK-5
52,Patton Elementary School,"6001 Westcreek Drive, Austin, TX 78749",8,Public district PK-5
53,Bowie High School,"4103 West Slaughter Lane, Austin, TX 78749",8,Public district 9-12
54,Westlake High School,"4100 Westbank Drive, Austin, TX 78746",8,Public district 9-12
55,Lake Travis Elementary School,"3322 Ranch Road 620 South, Austin, TX 78738",8,Public district PK-5
56,Pond Springs Elementary School,"7825 Elkhorn Mountain Trail, Austin, TX 78729",8,Public district PK-5
57,Bee Cave Elementary School,"14300 Hamilton Pool Rd, Austin, TX 78738",8,Public district PK-5
58,Guerrero Thompson,"102 East Rundberg Lane, Austin, TX 78753",8,Public district PK-5
59,Serene Hills Elementary School,"3322 Ranch Road 620 South, Austin, TX 78738",8,Public district PK-5
60,Harmony School of Political Science and Communication - Austin,"13415 North FM 620, Austin, TX 78717",8,Public charter K-12
61,Vandegrift High School,"9500 McNeil Drive, Austin, TX 78750",8,Public district 9-12
62,Four Points Middle School,"9700 McNeil Drive, Austin, TX 78750",8,Public district 6-8
63,KIPP Austin Obras,"5107 South Interstate 35 Frontage Road, Austin, TX 78744",8,Public charter K-4
64,Allison Elementary School,"515 Vargas Road, Austin, TX 78741",7,Public district PK-6
65,Austin High School,"1715 West Cesar Chavez Street, Austin, TX 78703",7,Public district 9-12
66,Brentwood Elementary School,"6700 Arroyo Seco, Austin, TX 78757",7,Public district PK-5
67,Campbell Elementary School,"2613 Rogers Avenue, Austin, TX 78722",7,Public district PK-5
68,Mccallum High School,"5600 Sunshine Drive, Austin, TX 78756",7,Public district 9-12
69,O Henry Middle School,"2610 West 10th Street, Austin, TX 78703",7,Public district 6-8
70,Ortega Elementary School,"1135 Garland Avenue, Austin, TX 78721",7,Public district PK-5
71,Ridgetop Elementary School,"5005 Caswell Avenue, Austin, TX 78751",7,Public district PK-5
72,Wooten Elementary School,"1406 Dale Drive, Austin, TX 78757",7,Public district PK-5
73,Kealing Middle School,"1607 Pennsylvania Avenue, Austin, TX 78702",7,Public district 6-8
74,Boone Elementary School,"8101 Croftwood Drive, Austin, TX 78749",7,Public district PK-5
75,Hart Elementary School,"8301 Furness Drive, Austin, TX 78753",7,Public district PK-5
76,Lake Travis High School,"3324 Ranch Road 620 South, Austin, TX 78738",7,Public district 9-12
77,Parmer Lane Elementary School,"1806 West Parmer Lane, Austin, TX 78727",7,Public district PK-5
78,Jollyville Elementary School,"6720 Corpus Christi Drive, Austin, TX 78729",7,Public district PK-5
79,Forest North Elementary School,"13414 Broadmeade Avenue, Austin, TX 78729",7,Public district PK-5
80,Noel Grisham Middle School,"10805 School House Lane, Austin, TX 78750",7,Public district 6-8
81,Mcneil High School,"5720 McNeil Drive, Austin, TX 78729",7,Public district 9-12
82,Live Oak Elementary School,"8607 Anderson Mill Road, Austin, TX 78729",7,Public district PK-5
83,Deerpark Middle School,"8849 Anderson Mill Road, Austin, TX 78729",7,Public district 6-8
84,Nyos - Magnolia Mccullough Campus,"1605 Kramer Lane, Austin, TX 78758",7,Public charter PK-3
85,Mcbee Elementary School,"1101 West Braker Lane, Austin, TX 78758",7,Public district PK-5
86,Kipp Austin Collegiate,"8509 Farm to Market 969, Austin, TX 78724",7,Public charter 9-12
87,Idea Allan College Preparatory,"1701 Vargas Road, Austin, TX 78741",7,Public charter 6-9
88,Lamar Middle School,"6201 Wynona Avenue, Austin, TX 78757",6,Public district 6-8
89,Murchison Middle School,"3700 North Hills Drive, Austin, TX 78731",6,Public district 6-8
90,Oak Hill Elementary School,"6101 Patton Ranch Road, Austin, TX 78735",6,Public district PK-5
91,Odom Elementary School,"1010 Turtle Creek Boulevard, Austin, TX 78745",6,Public district PK-5
92,Pease Elementary School,"1106 Rio Grande Street, Austin, TX 78701",6,Public district PK-6
