Abacus Southside,"$1,100",59
Folio,"$1,139",55
Sur 512,"$1,230",56
Overture Mueller,"$1,813",66
Hardrock Canyon,$999,71
Preserve at Travis Creek,N/A,20
Ladera Apartment Homes,"$1,005",27
Lafayette Landing,N/A,64
Avesta Agave Falls,$720,41
Volume 5,$759,82
Verde Apartments,$925,49
Marquis at Canyon Ridge,$936,34
Logans Mill,$790,54
Addison at Kramer Station,"$1,210",48
Tree,"$1,373",62
Marquis at Caprock Canyon,"$1,060",65
Volume 2,$759,81
7East,"$1,507",86
Rise on 8th,"$1,740",97
Marquis At Ladera Vista,$979,65
Settler's Ridge,$945,24
Elysian at Mueller,"$1,435",68
Avesta Capella,$691,44
Marquis at Barton Trail,$914,47
Jewel,"$1,069",71
Promesa,$906,13
Southshore District Phase 2,"$1,669",74
Volume 4,$799,78
Windsor at Barton Creek,"$1,011",46
5th Street Commons,"$1,414",48
Elan East,"$1,196",68
IMT @ The Domain,"$1,025",64
Bell South Lamar,"$1,017",62
Azul Lakeshore,"$1,150",47
Marquis at Great Hills,"$1,093",61
Marquis at Treetops,"$1,084",8
3500 Westlake,"$1,319",45
Lamar Union,"$1,565",85
Northwest Hills,$736,64
Mountain Ranch,$838,73
Water Marq,"$1,510",75
Uptown at University Park,"$1,456",76
The Boulevard At Town Lake,"$1,376",71
Wildwood Apartments,$720,56
Landmark Conservancy,"$1,000",8
Austin Midtown,"$1,096",76
SoCo on the Lake,"$1,150",74
Bell Hill Country,"$1,050",4
Mosaic at Mueller,"$1,294",66
Lantana Hills,"$1,221",7
LINK,"$1,125",63
Burnet Flats,"$1,240",79
The Reserve at Walnut Creek,$868,37
Bell Four Points,"$1,055",38
Gallery at Domain,"$1,636",55
Ridgeview,$975,46
Gibson Flats,"$1,442",85
Beverly,"$1,699",89
Pressler,"$1,670",86
Northgate Hills,$711,57
Avesta South Shore,$914,61
Villages at the Domain,"$1,361",64
The Standard at Domain,"$1,239",70
Bell Quarry Hill,"$1,110",39
South Shore District,"$1,413",54
The Park on Brodie Lane,"$1,065",47
Coldwater,"$1,740",68
Ocotillo Apartments,"$1,114",16
Gables Park Plaza,"$1,630",88
Eastside Station,"$1,441",89
The Lofts At The Triangle,"$1,755",80
Pearl Lantana,"$1,175",4
Lakeshore Pearl,"$1,312",60
Limestone Canyon,$925,3
Terrace Cove,$854,11
Platform,"$1,429",60
Volume 3,$799,81
Northshore,"$2,110",95
Southshore District Phase 3,"$1,520",74
Nolina Flats,$985,41
Tree,"$1,373",62
Hanover South Lamar,"$1,689",85
The Lofts At The Triangle,"$1,755",80
Southshore District Phase 2,"$1,669",74
5th Street Commons,"$1,414",48
Marquis at Barton Trail,$914,47
Settler's Ridge,$945,24
The Boulevard At Town Lake,"$1,376",71
Volume 4,$799,78
The Catherine,"$2,070",77
IMT @ The Domain,"$1,025",64
Abelia Flats,$770,41
Mosaic at Mueller,"$1,294",66
Gallery at Domain,"$1,636",55
Uptown at University Park,"$1,456",76
Mesh 1,"$1,015",76
Gables Park Plaza,"$1,630",88
Northland at the Arboretum,$960,65
Beverly,"$1,699",89
Eastside Station,"$1,441",89
Terrace Cove,$854,11
Azul Lakeshore,"$1,150",47
The Davis SoCo,"$1,267",70
Marquis at Canyon Ridge,$936,34
Promesa,$906,13
Avesta Capella,$691,44
12166 Metric Blvd - 0256,$865,36
2121 Dickson Dr,"$1,045",47
1720 E. Woodward Street,"$1,100",51
2101 North Lamar,"$3,500",63
4527 N Lamar Blvd # 27095,"$1,549",80
2919 West Ave,$900,86
2601 Esperanza Xing Apt 27431,"$1,345",48
4605 Avenue A,"$1,075",76
11400 Domain Dr Ste 115,"$1,316",69
8220 Research Blvd,$800,68
4800 Steiner Ranch Blvd,"$1,075",3
3707 Manchaca Rd,"$1,340",50
1824 S Interstate 35,"$1,075",52
1720 Woodward St,$900,47
7624 Tecoma Cir,"$1,750",N/A
2907 West Ave,$800,86
5900 Harwill Cir,"$1,550",51
2317 S Pleasant Valley Rd,$940,40
Apartment Experts,$996,54
509 East 43rd Street - Main House,"$2,700",81
11900 Hobby Horse Ct,$950,47
12501 Tech Ridge Blvd Apt 16119,$855,21
2601 Esperanza Xing,"$1,375",60
1200 W 40th St,$899,84
5453 Burnet Rd Apt 26713,"$1,181",77
105 W 51st St,"$1,300",62
600 S 1st St,"$1,150",53
2501 Wickersham Ln,$964,23
1814 Waterston Avenue,$900,66
7001 S Congress Ave,$720,69
1211 W 8th St,"$1,010",86
5001 Convict Hill Rd Apt 1857,$899,19
10011 Stonelake Blvd,"$1,402",52
1230 E 38th 1/2 St,"$1,025",66
3201 Duval Rd Apt 707,"$1,025",20
8912 N Lamar Blvd,$859,72
"1201 Tinnin Ford Road, #2","$1,450",68
4021 Steck Ave,$825,58
Apartment Experts,$889,22
8220 Research Blvd Apt 2406,"$1,560",68
7801 Palacios Drive,"$2,595",15
1333 Shore District Dr,"$1,420",74
1912 E William Cannon Dr # 2728,$834,58
8001 W Highway 71,"$1,060",31
400 W Saint Elmo Rd Apt 2103,"$1,275",63
2504 Manor Rd,$799,82
833 Fairfield Dr,$900,61
2316 Enfield Road - #106,"$1,875",43
3622 Manchaca Rd Apt 537,$950,55
924 E. 51st Street,"$1,195",67
11441 N Interstate 35,$785,33
2526 Durwood St Apt 102,$975,75
5001 Convict Hill Rd,$905,19
412 E William Cannon Dr Apt 648,"$1,105",61
2810 Salado St,$800,80
5606 N Lamar Blvd,$819,79
1201 Lady Byrd Ln,"$1,100",61
5606 N Lamar Blvd Apt 14041,$879,79
8054 Exchange Dr Apt 15951,$944,24
7500 S Interstate 35,"$1,074",27
Austin Craft Realty,N/A,70
3220 Duval Rd,$785,44
1600 Royal Crest Dr,$781,73
8810 Tallwood Dr,$910,25
1919 Burton Dr,$745,64
11441 N Interstate 35 # 11308,$935,33
5112 S 1st St Apt 2109,"$1,099",31
1616 W 6th St,"$1,075",86
400 W. St. Elmo Rd,"$1,025",63
2606 Enfield Rd Apt 26018,"$1,200",53
9500 Dessau Rd Apt 794,$983,54
1114 Camino La Costa # 11656,$795,65
3517 N Hills Dr,$920,42
810 W Saint Johns Ave,"$1,040",80
306 W 38th St,$875,83
8000 Highway 290 W,"$1,240",16
2800 Bartons Bluff Ln # 211,"$1,289",15
Apartment Specialists,"$1,426",74
1329 W Mary St,$950,80
603 Kentshire Circle,"$2,395",67
7655 N FM 620,"$1,140",39
7305 Oak Meadow Drive - A,"$1,295",40
3408 Speedway,$850,85
6212 Crow Ln,$945,37
4821 E Riverside Dr,$869,57
401 Little Texas Ln,$989,24
2211 W North Loop Blvd Apt 23668,"$1,399",80
1900 Burton Dr,$850,58
2336 Douglas St,"$1,029",48
311 Bowie St,"$1,849",92
1817 E Oltorf St,$839,57
6804 N Capital of Texas Hwy,"$1,190",11
12501 Tech Ridge Blvd,$915,8
1704 Nelms Dr # 13261,$810,46
6805 Wood Hollow Dr Apt 2412,"$1,106",61
2005 Willow Creek Dr Apt 623,"$1,084",57
6701 Burnet Rd Apt 28242,"$1,540",68
6300 S Congress Ave,$999,64
4911 Manchaca Rd,$909,60
8715 W Highway 71 Apt 28715,"$1,910",7
78 Rainey St Apt 26625,"$1,715",84
11441 N Interstate 35 Apt 1138,$930,33
1801 Lavaca Street Unit 9K,"$1,795",88
8615 Rockwood Ln,$889,64
8800 Highway 290 W Apt 24834,"$1,265",16
300 Ferguson Dr,$999,48
7227 E Highway 290,$675,41
1020 E 45th St,$875,72
1910 Willow Creek Dr Apt 14920,$999,61
2507 Burleson Rd,$860,53
8900 N Interstate 35 Apt 2234,$676,48
1200 Barton Hills Dr Apt 578,"$1,125",32
2716 Barton Creek Blvd Apt 11086,"$1,299",33
11282 Taylor Draper Ln Apt 334,$720,58
8605 Fenton Drive,"$2,495",9
3106 Speedway Apt 20274,$990,88
1507 Houston St,$975,77
7201 Hart Ln Apt 1541,"$1,205",66
3506 Manchaca Rd Apt 2519,$895,59
7304 Twin Crest Dr - Apt 105,$895,50
9036 N Lamar Blvd Apt 890,$809,75
6309 Burns St,$865,62
3401 S Lamar Blvd Unit F,"$1,400",63
1201 Lady Bird Ln # 27921,"$1,150",57
1405 W North Loop Blvd,"$1,150",76
2202 Enfield Rd Apt 20311,"$1,050",49
500 E Anderson Ln Apt 1643,$995,55
3400 Harmon Ave,"$1,410",75
5417 S MO Pac Expy,$887,51
6805 Wood Hollow Dr,$766,61
600 Barwood Park,$765,44
12800 Center Lake Dr,$875,30
2200 S Pleasant Valley Rd,$879,50
8605 Shoal Creek Blvd,$849,44
11441 N Interstate 35 Apt 1138,$930,33
1333 Shore District Dr # 26382,"$1,628",74
2606 Enfield Rd,$990,53
11282 Taylor Draper Ln Apt 334,$720,58
2800 Bartons Bluff Ln # 211,"$1,289",15
2001 S Interstate 35,$849,48
8605 Shoal Creek Blvd,$849,44
810 W Saint Johns Ave,"$1,040",80
7655 N FM 620,"$1,120",39
4911 Manchaca Rd,$909,60
833 Fairfield Dr,$900,61
1405 W. North Loop Blvd,"$1,099",76
2015 Cedar Bend Dr,$890,52
1500 E Riverside Dr,"$1,083",48
7500 S Interstate 35,"$1,074",27
1801 Fortview Road,$999,73
