Abacus Southside,"$1,100",59
Folio,"$1,139",55
Sur 512,"$1,230",56
Overture Mueller,"$1,813",66
Hardrock Canyon,$999,71
Preserve at Travis Creek,N/A,20
Ladera Apartment Homes,"$1,005",27
Lafayette Landing,N/A,64
Avesta Agave Falls,$720,41
Volume 5,$759,82
Verde Apartments,$925,49
Marquis at Canyon Ridge,$936,34
Logans Mill,$790,54
Addison at Kramer Station,"$1,210",48
Tree,"$1,373",62
Marquis at Caprock Canyon,"$1,060",65
Volume 2,$759,81
7East,"$1,507",86
Rise on 8th,"$1,740",97
Marquis At Ladera Vista,$979,65
Settler's Ridge,$945,24
Elysian at Mueller,"$1,435",68
Avesta Capella,$691,44
Marquis at Barton Trail,$914,47
Jewel,"$1,069",71
Promesa,$906,13
Southshore District Phase 2,"$1,669",74
Volume 4,$799,78
Windsor at Barton Creek,"$1,011",46
5th Street Commons,"$1,414",48
Elan East,"$1,196",68
IMT @ The Domain,"$1,025",64
Bell South Lamar,"$1,017",62
Azul Lakeshore,"$1,150",47
Marquis at Great Hills,"$1,093",61
Marquis at Treetops,"$1,084",8
3500 Westlake,"$1,319",45
Lamar Union,"$1,565",85
Northwest Hills,$736,64
Mountain Ranch,$838,73
Water Marq,"$1,510",75
Uptown at University Park,"$1,456",76
The Boulevard At Town Lake,"$1,376",71
Wildwood Apartments,$720,56
Landmark Conservancy,"$1,000",8
Austin Midtown,"$1,096",76
SoCo on the Lake,"$1,150",74
Bell Hill Country,"$1,050",4
Mosaic at Mueller,"$1,294",66
Lantana Hills,"$1,221",7
LINK,"$1,125",63
Burnet Flats,"$1,240",79
The Reserve at Walnut Creek,$868,37
Bell Four Points,"$1,055",38
Gallery at Domain,"$1,636",55
Ridgeview,$975,46
Gibson Flats,"$1,442",85
Beverly,"$1,699",89
Pressler,"$1,670",86
Northgate Hills,$711,57
Avesta South Shore,$914,61
Villages at the Domain,"$1,361",64
The Standard at Domain,"$1,239",70
Bell Quarry Hill,"$1,110",39
South Shore District,"$1,413",54
The Park on Brodie Lane,"$1,065",47
Coldwater,"$1,740",68
Ocotillo Apartments,"$1,114",16
Gables Park Plaza,"$1,630",88
Eastside Station,"$1,441",89
The Lofts At The Triangle,"$1,755",80
Pearl Lantana,"$1,175",4
Lakeshore Pearl,"$1,312",60
Limestone Canyon,$925,3
Terrace Cove,$854,11
Platform,"$1,429",60
Volume 3,$799,81
Northshore,"$2,110",95
Southshore District Phase 3,"$1,520",74
Nolina Flats,$985,41
